Gene,Score
80315_at,21.10415041
28683_at,21.10112051
57541_at,21.07702141
207_at,21.04085859
28834_at,21.02255788
28814_at,21.0028875
22882_at,20.9880693
10520_at,20.98204467
51218_at,20.93505479
8395_at,20.90578241
4680_at,20.90521686
439996_at,20.88879434
433_at,20.88580738
28900_at,20.87975917
55752_at,20.84278566
7357_at,20.79797693
728084_at,20.76740114
7328_at,20.76659954
5052_at,20.74125828
493856_at,20.7307212
388363_at,20.72420281
2289_at,20.68466899
56904_at,20.63345598
3112_at,20.6272817
56729_at,20.59878904
9806_at,20.50687553
1536_at,20.50537417
28628_at,20.48357896
28937_at,20.44760647
28947_at,20.44204426
100131187_at,20.41720638
5037_at,20.41208508
9978_at,20.40347298
28400_at,20.39276112
28671_at,20.38133359
55113_at,20.33646857
10435_at,20.28194037
8220_at,20.27526085
131870_at,20.2738605
3899_at,20.26132585
26051_at,20.18568404
100132417_at,20.15922138
4001_at,20.15709869
7095_at,20.14467723
100616195_at,20.09550067
254359_at,20.07177109
338339_at,19.93656528
100151683_at,19.93637167
1235_at,19.85551754
11326_at,19.85437969
80833_at,19.84222876
9300_at,19.83709196
26834_at,19.78171968
100506035_at,19.71152677
28825_at,19.69458014
28408_at,19.69286849
9679_at,19.68693794
3514_at,19.67180523
23204_at,19.66097354
28785_at,19.64148883
54900_at,19.61540784
9935_at,19.60536833
102724745_at,19.59567553
54028_at,19.58284309
104326191_at,19.57872172
28726_at,19.57805069
3538_at,19.56343658
6947_at,19.55185642
2872_at,19.53342705
4240_at,19.53063825
51272_at,19.52409779
946_at,19.51892662
28603_at,19.50762279
84285_at,19.50708165
284417_at,19.50292255
808_at,19.45164942
6602_at,19.43693185
5321_at,19.42899423
55640_at,19.4282379
57121_at,19.38857251
399665_at,19.3837072
8942_at,19.36567531
139324_at,19.36024394
5627_at,19.33079697
81831_at,19.32914533
28938_at,19.31955042
79796_at,19.31149953
285533_at,19.2737544
28429_at,19.2716245
9831_at,19.24507603
605_at,19.21759783
56942_at,19.19778512
9451_at,19.17065732
283089_at,19.09967028
28626_at,19.08228506
28722_at,19.05919569
22797_at,19.0362857
93995_at,18.96789664
353345_at,18.96721487
6147_at,18.96719324
101927438_at,18.96670883
9500_at,18.95232469
28581_at,18.94959837
10608_at,18.94483918
8031_at,18.91069496
644899_at,18.90886129
150465_at,18.82319297
1945_at,18.80209351
8607_at,18.79074706
1118_at,18.7774868
84255_at,18.77460127
5079_at,18.76618147
29097_at,18.75181898
6446_at,18.74381082
643339_at,18.7401338
7693_at,18.70588813
9917_at,18.70505379
28784_at,18.69524403
93663_at,18.69470288
56257_at,18.68675295
26810_at,18.68556065
23338_at,18.68509474
154881_at,18.68245409
57486_at,18.64707171
23582_at,18.63007589
257144_at,18.62708882
283209_at,18.59902221
2882_at,18.59773983
28481_at,18.59341823
84513_at,18.59118969
55423_at,18.59118786
686_at,18.57824605
166_at,18.56490196
28567_at,18.55699038
29116_at,18.54708733
10322_at,18.54702784
53822_at,18.54514722
23590_at,18.54439739
91_at,18.53575334
55450_at,18.49817359
28475_at,18.48883664
57126_at,18.48379187
105369968_at,18.48254789
5352_at,18.46554808
11043_at,18.45699312
133629_at,18.44856482
79872_at,18.4392944
107986153_at,18.42629892
3932_at,18.40111501
401431_at,18.39928083
5589_at,18.37044995
677792_at,18.34525755
84747_at,18.34189763
360_at,18.33412843
28949_at,18.3104681
105376196_at,18.30444001
8975_at,18.22199448
692223_at,18.21495918
3627_at,18.21381849
79867_at,18.20344503
